Ethereum,Ethereum,Ethereum
Date,Price,Volume
10/26/2016,11.43,1185604
10/27/2016,11.08,1744841
10/28/2016,10.39,3189413
10/29/2016,11.22,1221192
10/30/2016,10.91,1472033
10/31/2016,10.75,2120518
11/1/2016,10.82,1354204
11/2/2016,10.86,1572227
11/3/2016,11.13,884314
11/4/2016,11.11,457396
11/5/2016,10.97,485095
11/6/2016,10.9,782734
11/7/2016,10.86,998744
11/8/2016,10.64,1986925
11/9/2016,10.52,443281
11/10/2016,10.29,775064
11/11/2016,9.96,1155624
11/12/2016,10.13,810621
11/13/2016,10,565262
11/14/2016,10.22,796438
11/15/2016,10.01,1257139
11/16/2016,9.95,1108257
11/17/2016,9.53,1198775
11/18/2016,9.7,664066
11/19/2016,9.57,486220
11/20/2016,9.56,450573
11/21/2016,9.84,1239793
11/22/2016,9.78,456302
11/23/2016,9.22,1867383
11/24/2016,9.39,716441
11/25/2016,9.34,293525
11/26/2016,8.91,1353644
11/27/2016,8.66,883086
11/28/2016,8.18,2178363
11/29/2016,8.59,1370387
11/30/2016,8.44,830842
12/1/2016,7.65,3086902
12/2/2016,7.9,1424715
12/3/2016,7.54,728686
12/4/2016,6.69,2211620
12/5/2016,7.61,4244346
12/6/2016,8.35,1716783
12/7/2016,8.3,1798741
12/8/2016,8.52,1200256
12/9/2016,8.09,862005
12/10/2016,8.2,424995
12/11/2016,8.45,1036639
12/12/2016,8.4,588447
12/13/2016,8.23,572590
12/14/2016,7.76,1657356
12/15/2016,7.85,545242
12/16/2016,7.66,931231
12/17/2016,7.89,596318
12/18/2016,7.61,561539
12/19/2016,7.59,535548
12/20/2016,7.87,871421
12/21/2016,7.64,1484702
12/22/2016,7.16,1661753
12/23/2016,7.23,536182
12/24/2016,7.19,417117
12/25/2016,7.21,544580
12/26/2016,7.15,652961
12/27/2016,7.57,1766689
12/28/2016,8.21,3493858
12/29/2016,8.16,1329431
12/30/2016,8.05,1105687
12/31/2016,8.14,1347147
1/1/2017,8.33,1292250
1/2/2017,9.59,5292231
1/3/2017,10.88,7005140
1/4/2017,10.2,9120265
1/5/2017,10.07,3477359
1/6/2017,9.78,1942619
1/7/2017,10.27,1933043
1/8/2017,10.2,2324307
1/9/2017,10.55,1592370
1/10/2017,9.83,3510206
