Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
6/21/2014,603.619995,1240859
6/22/2014,591.169983,1594834
6/23/2014,588.77002,1840620
6/24/2014,568.450012,1797681
6/25/2014,582.700012,2401035
6/26/2014,602.22998,2015064
6/27/2014,597.559998,1778752
6/28/2014,601.059998,1736172
6/29/2014,635.140015,2394861
6/30/2014,643.190002,2675353
7/1/2014,645.719971,3099761
7/2/2014,638.030029,2580980
7/3/2014,623.960022,2291612
7/4/2014,622.960022,2034965
7/5/2014,626.650024,1698242
7/6/2014,613.599976,1590944
7/7/2014,615.320007,2004899
7/8/2014,623,1920482
7/9/2014,618.390015,2253171
7/10/2014,632.900024,1969199
7/11/2014,635.900024,2179286
7/12/2014,628.030029,1082830
7/13/2014,618.320007,1601572
7/14/2014,619.599976,2310446
7/15/2014,614.799988,1873008
7/16/2014,626.580017,1833775
7/17/2014,627.469971,2109225
7/18/2014,627.039978,2505181
7/19/2014,620.97998,1442853
7/20/2014,625.130005,1596614
7/21/2014,622.530029,2068876
7/22/2014,621.690002,1372935
7/23/2014,601.869995,2896094
7/24/2014,600.5,3592179
7/25/2014,596,2095634
7/26/2014,595.030029,2118021
7/27/2014,587.929993,1391966
7/28/2014,585.77002,3962906
7/29/2014,564.640015,2397473
7/30/2014,589.52002,2057947
7/31/2014,598.780029,5356663
8/1/2014,591.719971,1278807
8/2/2014,588.940002,752201
8/3/2014,592.77002,2047890
8/4/2014,588.76001,2429310
8/5/2014,589.77002,1785940
8/6/2014,592.799988,1485017
8/7/2014,595.849976,1873039
8/8/2014,589.52002,843722
8/9/2014,592.059998,796584
8/10/2014,575.890015,1512262
8/11/2014,567.659973,1894843
8/12/2014,542.099976,2659458
8/13/2014,504.799988,5608470
8/14/2014,496.450012,2407799
8/15/2014,522.01001,1956441
8/16/2014,485.5,1584568
8/17/2014,462.179993,2991012
8/18/2014,485.119995,2458098
8/19/2014,516.780029,2965577
8/20/2014,517.940002,2974478
8/21/2014,516.099976,3116862
8/22/2014,497.679993,1596652
8/23/2014,509.709991,1294320
8/24/2014,502.929993,1409621
8/25/2014,512.559998,1831000
8/26/2014,515.22998,1982424
8/27/2014,510.75,2307082
8/28/2014,512.559998,1876846
8/29/2014,505.959991,1337420
8/30/2014,481.779999,2982601
8/31/2014,477.190002,3261178
9/1/2014,478.940002,3291738
9/2/2014,480.040009,3018772
9/3/2014,490.98999,4345165
9/4/2014,483.649994,3013185
9/5/2014,484.470001,1883095
9/6/2014,485.75,1755360
9/7/2014,475.690002,3948928
9/8/2014,474.899994,3529051
9/9/2014,479.700012,4058785
9/10/2014,478.48999,3086920
9/11/2014,477.730011,2514548
9/12/2014,478.170013,2569793
9/13/2014,477.73999,2031789
9/14/2014,477.709991,2753462
9/15/2014,466.75,3139554
9/16/2014,461.089996,3522262
9/17/2014,424.26001,3946908
9/18/2014,397.670013,6062707
9/19/2014,411.529999,5919676
9/20/2014,401.619995,4229727
9/21/2014,404.089996,5531782
9/22/2014,436.859985,7490861
9/23/2014,423.769989,9217984
9/24/2014,412.290009,6143388
9/25/2014,404.459991,4966479
9/26/2014,399.019989,3950428
9/27/2014,379.079987,5453338
9/28/2014,376.769989,7924759
9/29/2014,388.170013,6520432
9/30/2014,382.839996,6892843
10/1/2014,375.140015,5471103
10/2/2014,363.450012,6278574
10/3/2014,335.320007,8050734
10/4/2014,322.859985,9512572
10/5/2014,331.549988,13642089
10/6/2014,331.649994,10076018
10/7/2014,350.869995,7413499
10/8/2014,360.910004,13020038
10/9/2014,361.709991,10394856
10/10/2014,361.220001,5049013
10/11/2014,373.170013,4077867
10/12/2014,387.320007,8935310
10/13/2014,397.100006,11549913
10/14/2014,393.170013,8867207
10/15/2014,379.769989,7999668
10/16/2014,380.480011,6324477
10/17/2014,390.880005,3657801
10/18/2014,387.279999,2088508
10/19/2014,380.390015,4075710
10/20/2014,382.350006,3745779
10/21/2014,378.929993,4064736
10/22/2014,355.779999,6999640
10/23/2014,355.100006,7185001
10/24/2014,346.720001,4929757
10/25/2014,348.670013,4076756
10/26/2014,350.089996,3777108
10/27/2014,351.059998,3372185
10/28/2014,335.119995,4259966
10/29/2014,344.859985,5522262
10/30/2014,337.869995,4814121
10/31/2014,325.429993,4540440
11/1/2014,322.549988,3878749
11/2/2014,324.23999,4435458
11/3/2014,327.959991,4955240
11/4/2014,338.01001,5342189
11/5/2014,347.670013,5388972
11/6/2014,341.869995,5215262
11/7/2014,343.540009,2834855
11/8/2014,362.040009,4466556
11/9/2014,367.149994,8387025
11/10/2014,365.420013,5817809
11/11/2014,432.029999,15737081
11/12/2014,428.720001,25304725
11/13/2014,396.529999,14250930
11/14/2014,374.859985,5185270
11/15/2014,385.609985,5497204
11/16/2014,384.690002,10942934
11/17/2014,379.160004,10404772
11/18/2014,381.429993,7592152
11/19/2014,357.299988,8084810
11/20/2014,351.769989,8291129
11/21/2014,352.01001,4632290
11/22/2014,365.850006,4504560
11/23/2014,378.850006,9244691
11/24/2014,376.429993,17405251
11/25/2014,365.350006,8916241
11/26/2014,368.829987,5144146
11/27/2014,377.589996,16118258
11/28/2014,376.279999,31983637
11/29/2014,374.929993,4269105
11/30/2014,378.609985,7481865
12/1/2014,380.640015,9664274
12/2/2014,376.959991,8950322
12/3/2014,369.839996,9521316
12/4/2014,377.630005,11251853
12/5/2014,376.26001,4181319
12/6/2014,376.470001,3334332
12/7/2014,364.950012,8506201
12/8/2014,352.190002,15529628
12/9/2014,347.940002,9535221
12/10/2014,347.679993,18063629
12/11/2014,353.399994,9490205
12/12/2014,348.23999,6837218
12/13/2014,349.350006,4328238
12/14/2014,345.369995,7746836
12/15/2014,330.220001,13001054
12/16/2014,320.019989,19834674
12/17/2014,310.339996,18932813
12/18/2014,317.779999,13119110
12/19/2014,330.350006,9768954
